1,2,3,4,5,6,7,8
49.21877464,8.903012501,3.954419641,93.50495129,62.46861682,66.09697801,42.89217764,a4
10.41945174,34.97385105,2.915968308,7.674075582,10.04545799,32.55940753,25.19038636,a3
25.46841964,93.97521477,0.251302712,96.70979311,32.58378617,8.238507188,38.22715272,a1
19.54046953,39.27594544,3.933514318,61.63689957,26.32817654,77.70982617,67.78072892,a4
15.92706394,77.51524842,4.843832784,11.21465463,75.8244616,38.70085212,77.90988671,a5
16.94108697,59.86332361,2.665932366,52.65724245,88.95201335,89.88577337,88.58716724,a3
74.02599531,59.87811715,1.408667394,55.91303657,21.78182671,17.97413649,9.495231504,a2
93.80966804,52.16520383,1.815085772,4.831444191,7.601161498,20.69415498,58.04180803,a2
34.97193619,89.80472516,2.983347815,33.58581721,98.16842835,39.05710716,82.84036818,a3
85.27819383,80.19056532,2.197072042,26.71768712,4.781896273,19.41758534,67.73432525,a3
90.95888022,39.38931202,0.095179289,93.45136686,99.30782358,97.44820442,3.852642153,a1
84.53415545,22.69279332,1.338013283,42.82319918,22.24034225,17.81647565,30.51185455,a2
81.88559832,79.06336434,0.208956829,25.29567793,6.775143878,9.658915426,67.06615295,a1
53.49181214,54.71055026,4.614920036,65.84382679,24.47054944,71.3563887,55.7390859,a5
47.15325808,67.56481678,2.348025817,22.14782621,27.76475947,97.52319356,83.29678391,a3
60.70397589,31.37246346,4.179460383,28.72431162,57.96721984,6.402402034,96.6577392,a5
74.33201407,10.1109568,2.204988928,48.88487569,27.69272608,19.84550799,54.02549364,a3
78.57222859,44.08422417,3.400706851,24.56915913,98.36998772,16.00488051,98.71915711,a4
6.696769591,78.62112239,0.590536053,10.22159316,38.39439905,46.83632747,48.63416302,a1
62.59735447,24.92729403,1.234499195,63.68434476,6.571080571,32.14218731,31.24422233,a2
58.74253893,83.10561915,2.592482198,58.56949935,6.23101843,58.05086904,0.282603212,a3
10.23113135,20.7984868,0.932094754,66.81098271,10.4090919,91.57120054,57.47326901,a1
30.87686019,36.8692599,4.812787529,47.9027775,14.46407879,47.69980441,77.48671298,a5
67.01563663,72.83324973,1.129582776,74.52078664,3.791992756,27.23751683,5.660038909,a2
78.17832016,76.10736445,0.688595514,1.338180114,13.11858178,77.15474902,65.57341198,a1
15.64055331,9.145076254,0.937058571,86.75088518,80.39242518,43.12994858,12.68416031,a1
58.98811958,46.15620982,0.020751392,70.6255674,73.35722424,44.49272924,16.79939574,a1
54.84575468,5.356936417,3.774361733,45.19780543,12.95951867,76.32009611,20.7771311,a4
36.66853568,30.55272527,4.3917215,84.99717043,14.4371301,55.80506538,30.31133352,a5
14.7801361,89.86500437,4.491676619,94.49448776,65.50227017,6.234233502,95.01150037,a5
55.43905835,41.03527975,4.360491277,65.56440343,80.64282996,13.60454696,67.10721323,a5
25.59491122,39.15609316,0.672568366,38.10548375,67.5699976,81.99512163,3.624883958,a1
73.56603762,90.92608526,0.971509157,86.50786981,69.73090255,67.03871152,6.981630676,a1
7.615336918,91.96028337,4.665064165,89.20255299,48.81600622,78.74770433,49.65000177,a5
69.72208286,31.9096927,2.761017112,11.0865831,98.21959108,91.37564401,31.13157806,a3
27.9542261,13.49575653,0.254235641,2.112308215,54.00381122,63.67040198,50.99426224,a1
93.43498749,71.42954372,2.462937668,16.30387435,62.46022331,93.28426903,31.65046731,a3
39.80901401,57.35472715,3.024218685,31.30714601,26.52625513,76.97884661,86.0635703,a4
49.52666657,55.24453436,0.643977853,2.514056588,5.053868067,9.159500376,98.95144093,a1
57.0609798,91.05840121,2.124616194,88.46360783,47.44947069,84.87361212,60.02282355,a3
16.7989098,76.29811909,2.867865532,86.62935335,69.81755683,86.46007439,89.4623774,a3
23.50387659,4.920373866,1.272500098,27.46612559,61.73553378,29.19231895,28.22281091,a2
24.76078818,87.53561685,0.7386756,5.03869389,72.45050211,75.82396858,28.54624603,a1
8.118470668,24.81536997,1.358571879,6.558332876,81.48616844,48.69810587,77.27855228,a2
26.97010805,44.65630166,1.730939996,39.99611139,68.15661522,59.14272674,49.32170743,a2
4.160183896,20.91975333,0.20670533,79.81602993,45.39706959,41.11977974,83.89505868,a1
